t,sin,cos
5.62,-0.61563,0.788035
5.64,-0.599747,0.800189
5.66,-0.583625,0.812024
5.68,-0.567269,0.823533
5.7,-0.550686,0.834713
5.72,-0.533882,0.845559
5.74,-0.516865,0.856067
5.76,-0.499642,0.866232
5.78,-0.482218,0.876051
5.8,-0.464602,0.88552
5.82,-0.4468,0.894634
5.84,-0.428819,0.90339
5.86,-0.410667,0.911785
5.88,-0.39235,0.919816
5.9,-0.373877,0.927478
5.92,-0.355254,0.93477
5.94,-0.336488,0.941688
5.96,-0.317589,0.948229
5.98,-0.298562,0.95439
6,-0.279415,0.96017
6.02,-0.260157,0.965566
6.04,-0.240795,0.970576
6.06,-0.221337,0.975197
6.08,-0.20179,0.979429
6.1,-0.182163,0.983268
6.12,-0.162462,0.986715
6.14,-0.142697,0.989766
6.16,-0.122874,0.992422
6.18,-0.103002,0.994681
6.2,-0.0830894,0.996542
6.22,-0.0631433,0.998004
6.24,-0.0431719,0.999068
6.26,-0.0231832,0.999731
6.28,-0.0031853,0.999995
6.3,0.0168139,0.999859
6.32,0.0368064,0.999322
6.34,0.0567841,0.998386
6.36,0.0767392,0.997051
6.38,0.0966635,0.995317
6.4,0.116549,0.993185
6.42,0.136388,0.990655
6.44,0.156173,0.98773
6.46,0.175895,0.984409
6.48,0.195547,0.980694
6.5,0.21512,0.976588
6.52,0.234607,0.97209
6.54,0.254001,0.967204
6.56,0.273293,0.961931
6.58,0.292476,0.956273
6.6,0.311541,0.950233
6.62,0.330482,0.943812
6.64,0.349291,0.937014
6.66,0.367961,0.929841
6.68,0.386483,0.922297
6.7,0.40485,0.914383
6.72,0.423055,0.906104
6.74,0.441092,0.897462
6.76,0.458951,0.888461
6.78,0.476628,0.879105
6.8,0.494113,0.869397
6.82,0.511401,0.859342
6.84,0.528485,0.848943
6.86,0.545357,0.838204
6.88,0.562011,0.82713
6.9,0.57844,0.815725
6.92,0.594637,0.803994
6.94,0.610597,0.791941
6.96,0.626313,0.779572
6.98,0.641778,0.76689
7,0.656987,0.753902
7.02,0.671932,0.740613
7.04,0.686609,0.727027
7.06,0.701011,0.71315
7.08,0.715133,0.698988
7.1,0.728969,0.684547
7.12,0.742513,0.669831
7.14,0.755761,0.654848
7.16,0.768705,0.639603
7.18,0.781343,0.624102
7.2,0.793668,0.608351
7.22,0.805675,0.592357
7.24,0.817361,0.576126
7.26,0.828719,0.559665
7.28,0.839746,0.54298
7.3,0.850437,0.526078
7.32,0.860787,0.508965
7.34,0.870794,0.491648
7.36,0.880452,0.474135
7.38,0.889758,0.456433
7.4,0.898708,0.438547
7.42,0.907299,0.420487
7.44,0.915526,0.402258
7.46,0.923388,0.383868
7.48,0.93088,0.365325
7.5,0.938,0.346635
7.52,0.944745,0.327807
7.54,0.951111,0.308848
7.56,0.957098,0.289765
7.58,0.962701,0.270567
7.6,0.96792,0.25126
7.62,0.972751,0.231852
7.64,0.977193,0.212352
7.66,0.981244,0.192767
7.68,0.984903,0.173105
7.7,0.988168,0.153374
7.72,0.991038,0.133581
7.74,0.993511,0.113735
7.76,0.995587,0.0938433
7.78,0.997265,0.0739142
7.8,0.998543,0.0539554
7.82,0.999423,0.0339751
7.84,0.999902,0.0139812
7.86,0.999982,-0.00601833
7.88,0.999662,-0.0260154
7.9,0.998941,-0.0460021
7.92,0.997822,-0.0659704
7.94,0.996303,-0.0859123
7.96,0.994385,-0.10582
7.98,0.99207,-0.125685
8,0.989358,-0.1455
8.02,0.986251,-0.165257
8.04,0.982748,-0.184947
8.06,0.978853,-0.204564
8.08,0.974566,-0.224099
8.1,0.96989,-0.243544
8.12,0.964825,-0.262892
8.14,0.959375,-0.282135
8.16,0.953541,-0.301264
8.18,0.947325,-0.320274
8.2,0.940731,-0.339155
8.22,0.93376,-0.3579
8.24,0.926415,-0.376503
8.26,0.918701,-0.394955
8.28,0.910618,-0.413248
8.3,0.902172,-0.431377
8.32,0.893364,-0.449333
8.34,0.8842,-0.467109
8.36,0.874681,-0.484698
8.38,0.864813,-0.502094
8.4,0.854599,-0.519289
8.42,0.844043,-0.536276
8.44,0.833149,-0.553048
8.46,0.821922,-0.569599
8.48,0.810367,-0.585923
8.5,0.798487,-0.602012
8.52,0.786288,-0.61786
8.54,0.773774,-0.633461
8.56,0.760951,-0.648809
8.58,0.747824,-0.663897
8.6,0.734397,-0.67872
8.62,0.720677,-0.693271
8.64,0.706668,-0.707545
8.66,0.692377,-0.721536
8.68,0.677809,-0.735238
8.7,0.662969,-0.748647
8.72,0.647865,-0.761755
8.74,0.632501,-0.77456
8.76,0.616884,-0.787054
8.78,0.601021,-0.799233
8.8,0.584917,-0.811093
8.82,0.568579,-0.822628
8.84,0.552014,-0.833835
8.86,0.535228,-0.844707
8.88,0.518228,-0.855242
8.9,0.501021,-0.865435
8.92,0.483613,-0.875282
8.94,0.466012,-0.884778
8.96,0.448224,-0.893921
8.98,0.430257,-0.902706
9,0.412118,-0.91113
9.02,0.393815,-0.91919
9.04,0.375353,-0.926882
9.06,0.356742,-0.934203
9.08,0.337988,-0.941151
9.1,0.319098,-0.947722
9.12,0.300081,-0.953914
9.14,0.280944,-0.959724
9.16,0.261695,-0.965151
9.18,0.242341,-0.970191
9.2,0.22289,-0.974844
9.22,0.20335,-0.979106
9.24,0.183728,-0.982977
9.26,0.164033,-0.986455
9.28,0.144273,-0.989538
9.3,0.124454,-0.992225
9.32,0.104586,-0.994516
9.34,0.0846764,-0.996409
9.36,0.0647327,-0.997903
9.38,0.044763,-0.998998
9.4,0.0247754,-0.999693
9.42,0.00477794,-0.999989
9.44,-0.0152215,-0.999884
9.46,-0.0352148,-0.99938
9.48,-0.055194,-0.998476
9.5,-0.0751511,-0.997172
9.52,-0.0950782,-0.99547
9.54,-0.114967,-0.993369
9.56,-0.13481,-0.990871
9.58,-0.154599,-0.987977
9.6,-0.174327,-0.984688
9.62,-0.193984,-0.981005
9.64,-0.213564,-0.976929
9.66,-0.233059,-0.972463
9.68,-0.25246,-0.967607
9.7,-0.271761,-0.962365
9.72,-0.290952,-0.956738
9.74,-0.310028,-0.950728
9.76,-0.328979,-0.944337
9.78,-0.347799,-0.937569
9.8,-0.366479,-0.930426
9.82,-0.385013,-0.922911
9.84,-0.403393,-0.915027
9.86,-0.421612,-0.906776
9.88,-0.439662,-0.898163
9.9,-0.457536,-0.889191
9.92,-0.475227,-0.879863
9.94,-0.492728,-0.870183
9.96,-0.510032,-0.860155
9.98,-0.527132,-0.849783
10,-0.544021,-0.839072
10.02,-0.560693,-0.828024
10.04,-0.57714,-0.816645
10.06,-0.593356,-0.80494
10.08,-0.609335,-0.792913
10.1,-0.625071,-0.780568
10.12,-0.640556,-0.767911
10.14,-0.655785,-0.754948
10.16,-0.670752,-0.741682
10.18,-0.68545,-0.728119
10.2,-0.699875,-0.714266
10.22,-0.714019,-0.700126
10.24,-0.727878,-0.685707
10.26,-0.741446,-0.671013
10.28,-0.754717,-0.656051
10.3,-0.767686,-0.640826
10.32,-0.780348,-0.625346
10.34,-0.792698,-0.609615
10.36,-0.804731,-0.59364
10.38,-0.816442,-0.577427
10.4,-0.827826,-0.560984
10.42,-0.83888,-0.544317
10.44,-0.849598,-0.527431
10.46,-0.859976,-0.510335
10.48,-0.87001,-0.493035
10.5,-0.879696,-0.475537
10.52,-0.88903,-0.457849
10.54,-0.898009,-0.439978
10.56,-0.906628,-0.421931
10.58,-0.914885,-0.403715
10.6,-0.922775,-0.385338
10.62,-0.930297,-0.366807
10.64,-0.937447,-0.348129
10.66,-0.944221,-0.329311
10.68,-0.950618,-0.310362
10.7,-0.956635,-0.291289
10.72,-0.962269,-0.2721
10.74,-0.967518,-0.252801
10.76,-0.97238,-0.233401
10.78,-0.976854,-0.213908
10.8,-0.980936,-0.19433
10.82,-0.984626,-0.174674
10.84,-0.987923,-0.154947
10.86,-0.990824,-0.135159
10.88,-0.993329,-0.115317
10.9,-0.995436,-0.0954289
10.92,-0.997146,-0.0755024
10.94,-0.998456,-0.0555457
10.96,-0.999367,-0.0355668
10.98,-0.999879,-0.0155737
11,-0.99999,0.0044257
11.02,-0.999702,0.0244233
11.04,-0.999013,0.0444111
11.06,-0.997925,0.0643812
11.08,-0.996438,0.0843255
11.1,-0.994553,0.104236
11.12,-0.992269,0.124105
11.14,-0.989589,0.143924
11.16,-0.986513,0.163686
11.18,-0.983042,0.183382
11.2,-0.979178,0.203005
11.22,-0.974922,0.222547
11.24,-0.970276,0.241999
11.26,-0.965243,0.261355
11.28,-0.959823,0.280606
11.3,-0.954019,0.299745
11.32,-0.947834,0.318765
11.34,-0.94127,0.337656
11.36,-0.934329,0.356413
11.38,-0.927014,0.375027
11.4,-0.919329,0.393491
11.42,-0.911275,0.411798
11.44,-0.902858,0.429939
11.46,-0.894079,0.447909
11.48,-0.884943,0.4657
11.5,-0.875452,0.483305
11.52,-0.865612,0.500716
11.54,-0.855425,0.517927
11.56,-0.844896,0.534931
11.58,-0.834029,0.551721
11.6,-0.822829,0.56829
11.62,-0.811299,0.584631
11.64,-0.799445,0.600739
11.66,-0.787271,0.616607
11.68,-0.774782,0.632228
11.7,-0.761984,0.647596
11.72,-0.74888,0.662705
11.74,-0.735477,0.67755
11.76,-0.72178,0.692123
11.78,-0.707794,0.706419
11.8,-0.693525,0.720432
11.82,-0.678979,0.734158
11.84,-0.664161,0.74759
11.86,-0.649077,0.760723
11.88,-0.633734,0.773551
11.9,-0.618137,0.78607
11.92,-0.602293,0.798275
11.94,-0.586208,0.81016
11.96,-0.569889,0.821722
11.98,-0.553342,0.832954
12,-0.536573,0.843854
12.02,-0.51959,0.854416
12.04,-0.502399,0.864636
12.06,-0.485007,0.874511
12.08,-0.46742,0.884035
12.1,-0.449647,0.893206
12.12,-0.431695,0.90202
12.14,-0.413569,0.910473
12.16,-0.395278,0.918561
12.18,-0.376829,0.926283
12.2,-0.358229,0.933634
12.22,-0.339486,0.940611
12.24,-0.320607,0.947212
12.26,-0.3016,0.953434
12.28,-0.282473,0.959275
12.3,-0.263232,0.964733
12.32,-0.243886,0.969804
12.34,-0.224442,0.974487
12.36,-0.204909,0.978781
12.38,-0.185294,0.982683
12.4,-0.165604,0.986192
12.42,-0.145849,0.989307
12.44,-0.126035,0.992026
12.46,-0.10617,0.994348
12.48,-0.0862633,0.996272
12.5,-0.0663219,0.997798
12.52,-0.046354,0.998925
12.54,-0.0263676,0.999652
12.56,-0.00637057,0.99998
12.58,0.013629,0.999907
12.6,0.033623,0.999435
12.62,0.0536037,0.998562
12.64,0.0735629,0.997291
12.66,0.0934926,0.99562
12.68,0.113385,0.993551
12.7,0.133232,0.991085
12.72,0.153026,0.988222
12.74,0.172758,0.984964
12.76,0.192422,0.981312
12.78,0.212008,0.977268
12.8,0.23151,0.972833
12.82,0.250919,0.968008
12.84,0.270228,0.962796
12.86,0.289428,0.9572
12.88,0.308513,0.95122
12.9,0.327474,0.94486
12.92,0.346305,0.938122
12.94,0.364997,0.931009
12.96,0.383543,0.923523
12.98,0.401935,0.915668
13,0.420167,0.907447
13.02,0.438231,0.898863
13.04,0.456119,0.889919
13.06,0.473825,0.880619
13.08,0.491342,0.870967
13.1,0.508661,0.860967
13.12,0.525778,0.850622
13.14,0.542684,0.839937
13.16,0.559373,0.828916
13.18,0.575838,0.817563
13.2,0.592074,0.805884
13.22,0.608072,0.793882
13.24,0.623827,0.781563
13.26,0.639332,0.768931
